translation_x	translation_y	translation_z	rotMatrix_11	rotMatrix_21	rotMatrix_31	rotMatrix_12	rotMatrix_22	rotMatrix_32	rotMatrix_13	rotMatrix_23	rotMatrix_33
62.616111094	-85.6888643763	620.9347669799	0.8995179109	0.0963382994	0.4261295901	0.1253894927	0.8774184159	-0.4630489774	-0.4185032898	0.4699532637	0.7771737332
63.0369429754	-85.9627377234	621.1238386304	0.8940728846	0.0962922553	0.4374513358	0.1314378362	0.8772275471	-0.461731593	-0.4282055443	0.4703189285	0.7716490301
63.5959943303	-86.0227920777	621.1610250083	0.8882920764	0.0971623329	0.4488831519	0.1363162418	0.8775478584	-0.4597038251	-0.4385823446	0.4695414077	0.7662739809
64.4313894983	-85.9904839342	621.3015669126	0.8816966919	0.0984778566	0.4614257535	0.1409746716	0.8783141723	-0.4568264673	-0.4502640779	0.4678314539	0.7605238737
65.0812820311	-85.748379506	621.4932693814	0.8754341222	0.1016255255	0.4725316538	0.1434629665	0.8789526915	-0.4548191539	-0.4615541999	0.4659552596	0.7548856139
65.7474888995	-85.6915676327	621.8530023061	0.8677199627	0.1064759522	0.4855144257	0.1460034526	0.8790969416	-0.4537306551	-0.475125646	0.4645981186	0.7472640652
66.9259759939	-85.5861851729	622.2473067504	0.860175696	0.1114375685	0.4976751523	0.1484521596	0.878869755	-0.4533762187	-0.4879147896	0.4638638423	0.7394393275
67.6963192839	-85.9718267101	622.6976383946	0.8523931587	0.1153020974	0.5100263099	0.1527029343	0.8779771326	-0.4536933233	-0.5001032049	0.4646087562	0.7307744587
68.3489264385	-85.5457404179	623.069167048	0.8458152204	0.1203831101	0.5197125307	0.1529371507	0.878596829	-0.4524130669	-0.5110806541	0.4621421158	0.7247193091
69.2812120848	-85.6972630151	623.6483246305	0.8390659471	0.1257133163	0.5293064767	0.1544603755	0.8778485449	-0.4533475463	-0.521642752	0.4621450621	0.7171551590
70.0736180216	-85.4717693405	624.0478112626	0.8329512109	0.1325813048	0.537226570	0.1536024677	0.8773164957	-0.4546667869	-0.5315980356	0.4612351404	0.7103968904
70.5164016803	-85.3633845963	624.3958317234	0.827798304	0.1385038001	0.5436621825	0.1526939936	0.8768442917	-0.4558824073	-0.5398485332	0.4603922237	0.7047016251
71.2403679705	-85.2259363523	624.8999759746	0.8220199363	0.1426160555	0.5513119436	0.1542369316	0.876186349	-0.4566273397	-0.5481743949	0.4603891723	0.6982460460
